"","date","year","neutral","playoff","team_a","team_b","elo1_pre","elo2_pre","elo_prob1","elo_prob2","elo1_post","elo2_post","carm.elo1_pre","carm.elo2_pre","carm.elo_prob1","carm.elo_prob2","carm.elo1_post","carm.elo2_post","raptor1_pre","raptor2_pre","raptor_prob1","raptor_prob2","score1","score2","quality","importance","finalrating"
"1","2022-10-18",2023,0,"","BOS","PHI",1657.63974912662,1582.24732707837,0.732949679216964,0.267050320783036,1662.1988835837,1577.68819262129,NA,NA,NA,NA,NA,NA,1693.24307892722,1641.87672921531,0.67061227196048,0.32938772803952,126,117,96,13,55
"2","2022-10-21",2023,0,"","MIA","BOS",1598.81471441712,1662.1988835837,0.552500190361501,0.447499809638499,1589.23808123439,1671.77551676643,NA,NA,NA,NA,NA,NA,1640.93918980306,1690.60271534175,0.540850427939974,0.459149572060026,104,111,96,23,60
"3","2022-10-22",2023,0,"","ORL","BOS",1359.47971525253,1671.77551676643,0.227571869750053,0.772428130249947,1356.47117312257,1674.78405889639,NA,NA,NA,NA,NA,NA,1298.29156138865,1675.72334429179,0.145696633835027,0.854303366164973,120,126,35,2,19
"4","2022-10-24",2023,0,"","CHI","BOS",1433.37230242662,1674.78405889639,0.307032072199385,0.692967927800615,1457.17340343,1650.98295789301,NA,NA,NA,NA,NA,NA,1478.64291081308,1698.72295665143,0.310831592550803,0.689168407449197,120,102,80,17,49
"5","2022-10-28",2023,0,"","BOS","CLE",1650.98295789301,1523.83977475397,0.787101430308967,0.212898569691033,1632.25719155857,1542.56554108841,NA,NA,NA,NA,NA,NA,1699.0807584617,1505.46904583083,0.818994440414555,0.181005559585445,123,132,84,11,48
"6","2022-10-30",2023,0,"","BOS","WAS",1632.25719155857,1439.20554299933,0.843821433865837,0.156178566134163,1636.11104459767,1435.35168996023,NA,NA,NA,NA,NA,NA,1664.52634818076,1446.88378469441,0.841889035761845,0.158110964238155,112,94,70,8,39
"7","2022-11-02",2023,0,"","CLE","BOS",1550.1892941566,1636.11104459767,0.520249148533521,0.479750851466479,1554.02432211007,1632.2760166442,NA,NA,NA,NA,NA,NA,1571.26403293437,1662.45726174482,0.483560425033475,0.516439574966525,114,113,89,23,56
"8","2022-11-04",2023,0,"","BOS","CHI",1632.2760166442,1480.40478063345,0.809981101587975,0.190018898412025,1634.27643703889,1478.40436023876,NA,NA,NA,NA,NA,NA,1660.16911464786,1497.18607577999,0.79485844696809,0.20514155303191,123,119,78,17,48
"9","2022-11-05",2023,0,"","NYK","BOS",1510.71557589024,1634.27643703889,0.466145075361822,0.533854924638178,1498.39593224114,1646.59608068799,NA,NA,NA,NA,NA,NA,1521.27687749749,1654.1281898395,0.412365298348235,0.587634701651765,118,133,81,36,59
"10","2022-11-07",2023,0,"","MEM","BOS",1607.2901849535,1646.59608068799,0.586468034742707,0.413531965257293,1600.39810162253,1653.48816401896,NA,NA,NA,NA,NA,NA,1605.2887289087,1664.0812393088,0.461800055218264,0.538199944781736,106,109,92,10,51
"11","2022-11-09",2023,0,"","BOS","DET",1653.48816401896,1365.61227610501,0.903155933010142,0.0968440669898578,1655.56629853669,1363.53414158728,NA,NA,NA,NA,NA,NA,1664.30822325464,1347.28840902684,0.90136036348316,0.0986396365168399,128,112,46,1,24
"12","2022-11-11",2023,0,"","BOS","DEN",1655.56629853669,1545.99936254854,0.769655014099463,0.230344985900537,1661.80323954611,1539.76242153912,NA,NA,NA,NA,NA,NA,1671.9130836775,1602.45909368962,0.697159420954919,0.302840579045081,131,112,92,8,50
"13","2022-11-12",2023,0,"","DET","BOS",1360.23645701682,1661.80323954611,0.238610657390825,0.761389342609175,1356.23630442861,1665.80339213432,NA,NA,NA,NA,NA,NA,1320.5649653344,1652.72161315368,0.189627858594339,0.810372141405661,108,117,37,3,20
"14","2022-11-14",2023,0,"","BOS","OKC",1665.80339213432,1419.85465978837,0.87989550336473,0.12010449663527,1666.99325663755,1418.66479528514,NA,NA,NA,NA,NA,NA,1675.87603111548,1414.20412185197,0.896848711403129,0.103151288596871,126,122,65,3,34
"15","2022-11-16",2023,0,"","ATL","BOS",1570.27585588267,1666.99325663755,0.504723899494344,0.495276100505656,1550.87186691451,1686.39724560571,NA,NA,NA,NA,NA,NA,1573.63862003795,1666.9153413932,0.48266477467212,0.51733522532788,101,126,89,21,55
"16","2022-11-18",2023,0,"","NOP","BOS",1569.94929434657,1686.39724560571,0.47634716276706,0.52365283723294,1561.41182552947,1694.93471442281,NA,NA,NA,NA,NA,NA,1562.48333437223,1683.90659708326,0.430739500670752,0.569260499329248,109,117,90,27,59
"17","2022-11-21",2023,0,"","CHI","BOS",1448.26457137655,1694.93471442281,0.300629672984816,0.699370327015184,1468.64623894169,1674.55304685767,NA,NA,NA,NA,NA,NA,1476.54626708581,1692.56633246361,0.314706397583234,0.685293602416766,121,107,79,27,53
"18","2022-11-23",2023,0,"","BOS","DAL",1674.55304685767,1571.10454810741,0.763351682844387,0.236648317155613,1679.54049627631,1566.11709868877,NA,NA,NA,NA,NA,NA,1675.70528490666,1607.89100846395,0.694365934929135,0.305634065070865,125,112,93,17,55
"19","2022-11-25",2023,0,"","BOS","SAC",1679.54049627631,1485.86910370239,0.844291011264579,0.155708988735421,1683.38121948133,1482.02838049737,NA,NA,NA,NA,NA,NA,1686.1189575681,1493.00588089557,0.824949364088817,0.175050635911183,122,104,81,16,49
